frame,timestamp_s,fps,2d_neck_alpha,2d_neck_beta,2d_neck_gamma,2d_trunk_alpha,2d_trunk_beta,2d_trunk_gamma,2d_right_shoulder_alpha,2d_right_shoulder_beta,2d_right_shoulder_gamma,2d_right_shoulder_elevation,2d_left_shoulder_alpha,2d_left_shoulder_beta,2d_left_shoulder_gamma,2d_left_shoulder_elevation,2d_right_elbow,2d_left_elbow,2d_right_knee,2d_left_knee,3d_neck_alpha,3d_neck_beta,3d_neck_gamma,3d_trunk_alpha,3d_trunk_beta,3d_trunk_gamma,3d_right_shoulder_alpha,3d_right_shoulder_beta,3d_right_shoulder_gamma,3d_right_shoulder_elevation,3d_left_shoulder_alpha,3d_left_shoulder_beta,3d_left_shoulder_gamma,3d_left_shoulder_elevation,3d_right_elbow,3d_left_elbow,3d_right_knee,3d_left_knee
52,3.466667,15,0.0000,0.0000,0.1671,0.0000,0.0000,0.0189,0.0000,0.0000,0.0906,0.0353,0.0000,0.0000,0.1470,-0.0252,0.2622,0.1938,0.0187,0.0991,-8.2018,-1.5039,-11.1425,-4.0076,-0.1028,-3.6950,-15.4223,-5.6557,-2.5854,0.3269,2.2127,2.5408,-0.1109,2.2174,10.9570,1.0772,0.0000,0.0000
53,3.533333,15,0.0000,0.0000,0.2095,0.0000,0.0000,0.0084,0.0000,0.0000,0.0463,0.0137,0.0000,0.0000,-0.1537,-0.0063,2.9915,0.0551,0.0576,0.0370,-10.8443,-5.9525,-13.1850,-4.1647,-0.1175,1.5800,4.8655,2.4024,0.6137,-2.2709,-0.7784,-1.2042,-1.4761,3.3309,15.0706,3.9130,0.0000,0.0000
54,3.600000,15,0.0000,0.0000,0.1694,0.0000,0.0000,0.0134,0.0000,0.0000,0.0989,0.0322,0.0000,0.0000,-0.1688,-0.0146,0.1408,0.0325,1.4083,0.0037,-17.6984,-6.1123,2.4578,-4.1625,-0.1130,-1.8868,-11.3802,-5.0353,-2.1350,0.1977,-1.1756,0.7480,-0.9018,3.3253,3.3206,6.3124,0.0000,0.0000
55,3.666667,15,0.0000,0.0000,0.1891,0.0000,0.0000,0.0128,0.0000,0.0000,0.0579,0.0355,0.0000,0.0000,-0.1598,-0.0140,0.2593,0.0454,3.1904,0.0086,-21.0771,-10.5280,-9.0662,-8.3541,-0.2404,2.4148,-3.9151,-3.2086,-1.3544,-3.1729,-4.4207,-3.2626,-3.5342,7.2749,0.7148,3.6696,0.0000,0.0000
56,3.733333,15,0.0000,0.0000,0.1949,0.0000,0.0000,0.0028,0.0000,0.0000,0.1084,-0.0015,0.0000,0.0000,-3.8577,3.7116,0.2815,0.0249,0.0192,0.0487,-12.6277,-10.8331,4.4567,-4.1637,-0.1280,7.1555,2.3792,-1.3749,0.0733,-3.2848,-4.4318,-6.3820,-4.0945,8.8589,2.4319,13.3209,0.0000,0.0000
57,3.800000,15,0.0000,0.0000,0.1613,0.0000,0.0000,0.0009,0.0000,0.0000,0.0463,0.0214,0.0000,0.0000,-0.1867,-0.0047,0.1943,0.1252,0.0258,0.0327,-10.9061,-10.5544,-2.0637,-2.6588,-0.0787,7.8133,1.3003,-2.6475,-0.0887,-3.1682,-0.6320,-4.9251,-2.0009,4.3236,7.4835,5.3246,0.0000,0.0000
58,3.866667,15,0.0000,0.0000,0.1426,0.0000,0.0000,0.0016,0.0000,0.0000,0.0614,-0.0097,0.0000,0.0000,-0.1963,0.0128,0.0398,0.0017,1.4251,0.0697,-13.0454,-4.5438,-9.6712,-2.6594,-0.0812,-1.8702,-19.0871,-7.9730,-3.2116,2.1319,-2.1113,0.4845,-0.6440,3.5328,12.8228,8.5606,0.0000,0.0000
59,3.933333,15,0.0000,0.0000,0.1497,0.0000,0.0000,0.0095,0.0000,0.0000,0.0758,0.0347,0.0000,0.0000,-0.1829,-0.0233,0.2892,0.0112,0.0367,0.0082,-2.1416,0.3871,-3.1141,1.9381,0.0732,-3.2574,-12.2140,-4.6053,-1.3812,2.8802,4.6190,3.6955,1.3434,-0.1302,11.2041,1.0342,0.0000,0.0000
60,4.000000,15,0.0000,0.0000,0.1359,0.0000,0.0000,0.0005,0.0000,0.0000,0.0966,0.0083,0.0000,0.0000,0.1241,-0.0103,0.2706,0.2809,0.0456,0.0362,-3.7989,-4.1348,9.2956,-0.9676,-0.0265,3.5703,3.2702,0.3983,0.3331,-2.7188,1.0025,-1.8253,-0.6211,0.0759,0.7121,7.8193,0.0000,0.0000
61,4.066667,15,0.0000,0.0000,0.1539,0.0000,0.0000,0.0009,0.0000,0.0000,0.0950,0.0126,0.0000,0.0000,0.1438,-0.0064,0.2854,0.1832,0.0058,0.0164,-10.5993,-5.6668,0.2419,-4.0118,-0.1220,1.2279,-6.4077,-4.2696,-1.4643,0.3057,-6.6178,-3.4407,-2.1959,5.0129,3.6755,13.1645,0.0000,0.0000
